scientific_name,common_name,taxon_id,observations,audio_files,status
Clinotarsus curtipes,Bicolored Frog,65182,1,1,ok
Duttaphrynus melanostictus,Common Indian Toad,62345,50,56,ok
Duttaphrynus scaber,Ferguson's Toad,21444,2,2,ok
Euphlyctis aloysii,Aloysius Skittering Frog,1595932,0,0,no_audio_found
Euphlyctis cyanophlyctis,Common Skittering Frog,26093,2,2,ok
Euphlyctis mudigere,Mudigere Skittering Frog,26093,2,2,ok
Ghatophryne ornata,Malabar Torrent Toad,1250320,0,0,no_audio_found
Hoplobatrachus crassus,Jerdon's Bull Frog,26262,2,2,ok
Hoplobatrachus tigrinus,Indian Bull Frog,,0,0,taxon_not_found
Hylarana indica,Indian Golden Backed Frog,,0,0,taxon_not_found
Hylarana intermedius,Rao's Intermediate Golden-backed Frog,,0,0,taxon_not_found
Hylarana malabarica,Fungoid Frog,476776,0,0,no_audio_found
Indirana diplosticta,Malabar Indian Frog,604148,0,0,no_audio_found
Indirana semipalmata,Small-handed Frog,26142,0,0,no_audio_found
Micrixalus elegans,Elegant Dancing Frog,26099,0,0,no_audio_found
Micrixalus kodayari,Kodayar Dancing Frog,476764,0,0,no_audio_found
Micrixalus kottigeharensis,Kottigehar Dancing Frog,26098,0,0,no_audio_found
Micrixalus niluvasei,Niluvase Dancing Frog,476768,0,0,no_audio_found
Micrixalus uttaraghati,Northern Dancing Frog,476773,0,0,no_audio_found
Microhyla ornata,Ornate Narrow Mouthed Frog,24842,2,2,ok
Microhyla rubra,Red Narrow Mouthed Frog,24841,0,0,no_audio_found
Minervarya sahyadris,Minervarya Frog,65470,0,0,no_audio_found
Nasikabatrachus sahyadrensis,Sahyadri Pig Nosed Frog,25307,5,5,ok
Nyctibatrachus beddomii,Beddome's Night Frog,25731,0,0,no_audio_found
Nyctibatrachus dattatreyaensis,Dattatreya Night Frog,70765,0,0,no_audio_found
Nyctibatrachus grandis,Wayanad Night Frog,134752,0,0,no_audio_found
Nyctibatrachus jog,Jog Night Frog,134754,0,0,no_audio_found
Nyctibatrachus kempholeyensis,Kempholey Night Frog,25725,3,3,ok
Nyctibatrachus kumbara,Kumbara Night Frog,476774,0,0,no_audio_found
Nyctibatrachus minimus,Miniature Night Frog,66189,0,0,no_audio_found
Nyctibatrachus petraeus,Castle Rock Night Frog,66190,1,1,ok
Nyctibatrachus pillaii,Pillai's Night Frog,25732,0,0,no_audio_found
Pedostibes tuberculosus,Malabar Tree Toad,21843,0,0,no_audio_found
Polypedates maculatus,Common Tree Frog,26555,2,3,ok
Polypedates occidentalis,Western Tree Frog,66517,0,0,no_audio_found
Pseudophilautus amboli,Amboli Bush Frog,70881,0,0,no_audio_found
Pseudophilautus kani,Kani Bush Frog,70883,1,1,ok
Pseudophilautus wynaadensis,Wayanad Bush Frog,26433,22,28,ok
Raorchestes agasthyaensis,Agasthyamalai Bush Frog,134807,0,0,no_audio_found
Raorchestes akroparallagi,Variable Bush Frog,70908,3,4,ok
Raorchestes anili,Anil's Bush Frog,66358,2,2,ok
Raorchestes beddomii,Beddome's Bush Frog,26350,1,2,ok
Raorchestes bobingeri,Inger's Bush Frog,66361,0,0,no_audio_found
Raorchestes bombayensis,Bombay Bush Frog,26291,0,0,no_audio_found
Raorchestes chalazodes,Granular Bush Frog,26393,0,0,no_audio_found
Raorchestes charius,Seshachar's Bush Frog,26284,1,1,ok
Raorchestes chromasynchysi,Confusing Colored Bush Frog,70911,0,0,no_audio_found
Raorchestes glandulosus,Glandular Bush Frog,26419,1,1,ok
Raorchestes griet,Griet's Bush Frog,26305,1,1,ok
Raorchestes jayarami,Jayaram's Bush Frog,70913,2,2,ok
Raorchestes johnceei,Johncee's Bush Frog,134809,0,0,no_audio_found
Raorchestes kakachi,Kakachi Bush Frog,199791,0,0,no_audio_found
Raorchestes luteolus,Yellow Bush Frog,134972,5,5,ok
Raorchestes manohari,Manohar's Bush Frog,134811,0,0,no_audio_found
Raorchestes nerostagona,Kalpetta Yellow Bush Frog,66387,3,3,ok
Raorchestes ochlandrae,Ochlandra Reed Bush Frog,66388,0,0,no_audio_found
Raorchestes ponmudi,Ponmudi Bush Frog,66393,3,3,ok
Raorchestes tuberohumerus,Knob Handed Bush Frog,26310,7,8,ok
Rhacophorus calcadensis,Kalakkad Tree Frog,1530365,0,0,no_audio_found
Rhacophorus lateralis,Small Tree Frog,26494,0,0,no_audio_found
Rhacophorus malabaricus,Malabar Gliding Frog,26530,0,0,no_audio_found
Sphaerotheca breviceps,Indian Burrowing Frog,134980,0,0,no_audio_found
Sphaerotheca dobsonii,Dobson's Burrowing Frog,67192,0,0,no_audio_found
Uperedon triangularis,Triangular Balloon Frog,,0,0,taxon_not_found
Uperedon mormoratus,Rao's Marbled Balloon Frog,,0,0,taxon_not_found
Uperedon taprobanicus,Sri Lankan Balloon Frog,,0,0,taxon_not_found
Uperedon variegatus,Variegated Balloon Frog,,0,0,taxon_not_found
Zakarana caparata,Wrinkled Cricket Frog,,0,0,taxon_not_found
Zakerana mudduraja,Mudduraja's Cricket Frog,717519,0,0,no_audio_found
Zakerana rufescens,Red Cricket Frog,717507,1,1,ok
